Roll Number	Days Present	Days Absent	Percentage
2340001	  26	   6	 81%
2340002	  27	   5	 84%
2340003	  19	  13	 59%
2340004	  26	   6	 81%
2340005	  26	   6	 81%
2340006	  26	   6	 81%
2340007	  26	   6	 81%
2340008	  25	   7	 78%
2340009	  25	   7	 78%
2340010	  25	   7	 78%
2340011	  25	   7	 78%
2340012	  25	   7	 78%
2340013	  25	   7	 78%
2340014	  25	   7	 78%
2340015	  25	   7	 78%
2340016	  25	   7	 78%
2340017	  25	   7	 78%
2340018	  25	   7	 78%
2340019	  25	   7	 78%
2340020	  25	   7	 78%
2340021	  25	   7	 78%
2340022	  26	   6	 81%
2340023	  26	   6	 81%
2340024	  26	   6	 81%
2340025	  26	   6	 81%
2340026	  26	   6	 81%
2340027	  26	   6	 81%
2340028	  26	   6	 81%
2340029	  27	   5	 84%
2340030	  23	   9	 71%
2340031	  23	   9	 71%
2340032	  23	   9	 71%
2340033	  27	   5	 84%
2340034	  27	   5	 84%
2340035	  27	   5	 84%
2340036	  26	   6	 81%
2340037	  26	   6	 81%
2340038	  26	   6	 81%
2340039	  31	   1	 96%
2340040	  31	   1	 96%
2340041	  23	   9	 71%
2340042	  23	   9	 71%
2340043	  23	   9	 71%
2340044	  26	   6	 81%
2340045	  26	   6	 81%
2340046	  26	   6	 81%
2340047	  26	   6	 81%
2340048	  26	   6	 81%
2340049	  26	   6	 81%
2340050	  20	  12	 62%
2340051	  20	  12	 62%
2340052	  20	  12	 62%
2340053	  20	  12	 62%
2340054	  20	  12	 62%
2340055	  20	  12	 62%
2340056	  20	  12	 62%
2340057	  26	   6	 81%
2340058	  26	   6	 81%
2340059	  27	   5	 84%
2340060	  27	   5	 84%
2340061	  27	   5	 84%
2340062	  27	   5	 84%
2340063	  27	   5	 84%
2340064	  26	   6	 81%
2340065	  26	   6	 81%
2340066	  26	   6	 81%
2340067	  24	   8	 75%
2340068	  24	   8	 75%
2340069	  24	   8	 75%
2340070	  24	   8	 75%
2340071	  24	   8	 75%
2340072	  24	   8	 75%
2340073	  26	   6	 81%
2340074	  26	   6	 81%
2340075	  26	   6	 81%
2340076	  26	   6	 81%
2340077	  26	   6	 81%
2340078	  26	   6	 81%
2340079	  26	   6	 81%
2340080	  30	   2	 93%
2340081	  26	   6	 81%
2340082	  26	   6	 81%
2340083	  26	   6	 81%
2340084	  26	   6	 81%
2340085	  26	   6	 81%
2340086	  26	   6	 81%
2340087	  26	   6	 81%
2340088	  26	   6	 81%
2340089	  26	   6	 81%
2340090	  26	   6	 81%
2340091	  26	   6	 81%
2340092	  26	   6	 81%
2340093	  26	   6	 81%
2340094	  22	  10	 68%
2340095	  22	  10	 68%
2340096	  22	  10	 68%
2340097	  22	  10	 68%
2340098	  22	  10	 68%
2340099	  22	  10	 68%
2340100	  26	   6	 81%
2340101	  26	   6	 81%
2340102	  26	   6	 81%
2340103	  13	  19	 40%
2340104	  30	   2	 93%
2340105	  30	   2	 93%
2340106	  19	  13	 59%
2340107	  30	   2	 93%
2340108	  30	   2	 93%
2340109	  30	   2	 93%
2340110	  30	   2	 93%
2340111	  30	   2	 93%
2340112	  30	   2	 93%
2340113	  11	  21	 34%
2340114	  31	   1	 96%
2340115	  30	   2	 93%
2340116	  30	   2	 93%
2340117	  30	   2	 93%
2340118	  30	   2	 93%
2340119	  30	   2	 93%
2340120	  28	   4	 87%
2340121	  26	   6	 81%
2340122	  26	   6	 81%
2340123	  24	   8	 75%
2340124	  24	   8	 75%
2340125	  24	   8	 75%
2340126	  24	   8	 75%
2340127	  26	   6	 81%
2340128	  26	   6	 81%
2340129	  28	   4	 87%
2340130	  28	   4	 87%
2340131	  28	   4	 87%
2340132	  30	   2	 93%
2340133	  11	  21	 34%
2340134	  30	   2	 93%
2340135	  30	   2	 93%
2340136	  30	   2	 93%
2340137	  30	   2	 93%
2340138	  28	   4	 87%
2340139	  28	   4	 87%
2340140	  28	   4	 87%
2340141	  28	   4	 87%
2340142	  28	   4	 87%
2340143	  28	   4	 87%
2340144	  30	   2	 93%
2340145	  30	   2	 93%
2340146	  29	   3	 90%
2340147	  28	   4	 87%
2340148	  29	   3	 90%
